"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2634","Переход к просмотру информации о себе","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","4758","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
"","5105","Добавление сотрудника","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","3688","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","6659","Удаление пользователя","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
"","3530","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","6978","Успешное создание пользователя","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","4801","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","4680","Успешное создание заявки на отпуск","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
"","6431","Успешный выход из системы","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","3433","Отображение созданного пользователя в списке","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","4550","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","14384","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
"","3505","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","15915","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
"","4668","Поиск нужного сотрудника","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","5398","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
