"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6315","Успешный выход из системы","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","0","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-19","skipped","2026-07-19","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","2760","Переход к просмотру информации о себе","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","1","Отображение созданного пользователя в списке","Surefire suite","2026-07-19","skipped","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","14032","Успешное создание заявки на отпуск","Surefire suite","2026-07-19","failed","2026-07-19","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
"","5153","Добавление сотрудника","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","5666","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
"","3389","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","4608","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
"","4449","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","5418","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
"","3844","Поиск нужного сотрудника","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","3759","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","4736","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","13443","Успешное создание пользователя","Surefire suite","2026-07-19","failed","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","1","Удаление пользователя","Surefire suite","2026-07-19","skipped","2026-07-19","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
"","10766","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-19","passed","2026-07-19","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
