"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Переход к просмотру информации о себе","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","1","Успешное создание заявки на отпуск","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
"","180","Успешный выход из системы","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","1","loginBeforeTest","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","loginBeforeTest"
"","183","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","1","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
"","0","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","1","Отображение созданного пользователя в списке","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","201","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
"","1","loginBeforeTest","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","loginBeforeTest"
"","1","loginBeforeTest","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","loginBeforeTest"
"","1","Успешное создание пользователя","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","0","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
"","208","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","1","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","3371","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
"","1","loginBeforeTest","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","loginBeforeTest"
"","1","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","1","loginBeforeTest","Surefire suite","2026-07-18","broken","2026-07-18","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","loginBeforeTest"
"","0","Поиск нужного сотрудника","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","0","Добавление сотрудника","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","0","Удаление пользователя","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
