"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4767","Поиск нужного сотрудника","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","3299","Переход к просмотру информации о себе","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","1","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-23","skipped","2026-07-23","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","14361","Добавление сотрудника","Surefire suite","2026-07-23","failed","2026-07-23","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","5248","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","13890","Удаление пользователя","Surefire suite","2026-07-23","failed","2026-07-23","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
"","5415","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
"","6640","Успешный выход из системы","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","3484","Отображение созданного пользователя в списке","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","4261","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","0","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-23","skipped","2026-07-23","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
"","7241","Успешное создание пользователя","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","5974","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
"","19956","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
"","0","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-23","skipped","2026-07-23","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","3942","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","4229","Успешное создание заявки на отпуск","Surefire suite","2026-07-23","passed","2026-07-23","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
