"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4577","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","3638","Переход к просмотру информации о себе","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","2325","Отображение созданного пользователя в списке","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","3108","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","14017","Успешное создание заявки на отпуск","Surefire suite","2026-07-18","failed","2026-07-18","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
"","7049","Успешное создание пользователя","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","6998","Удаление пользователя","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
"","1","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","1","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","0","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
"","15183","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
"","13555","Добавление сотрудника","Surefire suite","2026-07-18","failed","2026-07-18","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","3557","Поиск нужного сотрудника","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","4632","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
"","5632","Успешный выход из системы","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","0","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-18","skipped","2026-07-18","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","5319","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-18","passed","2026-07-18","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
