"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1963","Отображение созданного пользователя в списке","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","displayingCreatedUserInListTest"
"","5012","Редактирование личной информации сотрудника (Иконка карандашика)","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","editingEmployeePersonalInformationTest"
"","5817","Успешное создание пользователя","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","successfulUserCreationTest"
"","2673","Ошибка авторизации при пустых полях ""Имя пользователя"" и ""Пароль""","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorWithEmptyUsernameAndPasswordFieldsTest"
"","4637","Добавление сотрудника","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","addingEmployeeTest"
"","6739","Удаление пользователя","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AdminTest","Surefire test","dev.valvar.orangehrm.test.AdminTest","deletingUserTest"
"","5943","Ошибка авторизации при неправильном пароле","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","authorizationErrorDueToIncorrectPasswordTest"
"","1","Отображение созданной заявки в разделе ""Мой отпуск""","Surefire suite","2026-07-20","skipped","2026-07-20","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","displayingCreatedApplicationInMyVacationSectionTest"
"","2447","Поиск сотрудника по имени/фамилии через фильтр","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","searchForEmployeeByFirstLastNameUsingFilterTest"
"","5602","Просмотр информации по сотруднику (Иконка глазик)","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","viewingEmployeeInformationTest"
"","4918","Поиск нужного сотрудника","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.RecruitmentTest","Surefire test","dev.valvar.orangehrm.test.RecruitmentTest","findingRightEmployeeTest"
"","13561","Успешное создание заявки на отпуск","Surefire suite","2026-07-20","failed","2026-07-20","dev.valvar.orangehrm.test.LeaveTest","Surefire test","dev.valvar.orangehrm.test.LeaveTest","successfullyCreatingVacationRequestTest"
"","2522","Переход к просмотру информации о себе","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.MyInfoTest","Surefire test","dev.valvar.orangehrm.test.MyInfoTest","goToViewingInformationAboutYourselfTest"
"","3795","Успешная авторизация с валидными кредами (переход на страницу Dashboard)","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulAuthorizationWithValidCredentialsTest"
"","5281","Успешный выход из системы","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","successfulLogoutTest"
"","4351","Удаление сотрудника из списка (иконка урны)","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.PimTest","Surefire test","dev.valvar.orangehrm.test.PimTest","removingEmployeeFromListTest"
"","3809","Отображение виджетов на главной странице после авторизации","Surefire suite","2026-07-20","passed","2026-07-20","dev.valvar.orangehrm.test.AuthorizationTest","Surefire test","dev.valvar.orangehrm.test.AuthorizationTest","displayingWidgetsOnMainPageAfterAuthorizationTest"
